Comment,Category
"This photo is absolutely stunning! 😍 #naturephotography",positive
"Ugh, another sponsored post? 🙄 #ad",negative
"First! 🥇",spam
"You look amazing in this outfit! Where did you get it?",positive
"I can't believe people actually like this... 😒",negative
"Check out my profile for amazing deals! 💰💰💰",spam
"This is so inspirational, thank you for sharing! ❤️",positive
"Boring content as usual. Unfollowing.",negative
"Great shot! What camera did you use?",positive
"This is totally photoshopped. Fake.",negative
"Vote for me in the link in my bio! 🙏",spam
"Your feed always brightens my day! 🌞",positive
"I expected better from you. Disappointed.",negative
"Looking good! 😎👍",positive
"This post makes no sense. What's the point?",negative
"Follow me for follow back! 👥👥👥",spam
"Can't wait to try this recipe! Looks delicious 😋",positive
"Stop trying so hard, it's embarrassing.",negative
"Wow, the colors in this are incredible!",positive
"Not your best work. You can do better.",negative
"Like for like? Comment for comment? 🔁",spam
"This made me laugh so hard! 😂😂😂",positive
"I'm sorry, but this is just terrible advice.",negative
"Love the vibe of this post! Keep it up! 👏",positive
"Do you ever post anything original?",negative
"LAMAO",positive
"💀",neutral
"chin dabak dumdum",random
"binod",random
"slayed",positive
"This is fire 🔥",positive
"Meh, seen better",negative
"Ratio",negative
"Who asked?",negative
"No cap, this slaps",positive
"Mid",negative
"Yassss queen! 👑",positive
"Cringe",negative
"Sheesh",positive
"On God",positive
"L + ratio",negative
"Based",positive
"Sus",negative
"This ain't it chief",negative
"Bet",positive
"Go off king 👑",positive
"Simp",negative
"That's cap",negative
"Living rent free in your head",negative
"Mood",positive
"This hits different",positive
"Slay",positive
"I'm deceased 💀",positive
"It's giving...",neutral
"Main character energy",positive
"Weird flex but ok",neutral
"We stan 👏",positive
"It's a no from me dawg",negative
"Shooketh",positive
"Tea ☕",neutral
"Ok boomer",negative
"This sparks joy",positive
"I'm here for this",positive
"Cancelled",negative
"Vibe check passed",positive
"This ain't the flex you think it is",negative
"Periodt",positive
"Lowkey fire",positive
"Highkey trash",negative
"It slaps",positive
"Poggers",positive
"Kinda sus ngl",negative
"You dropped this 👑",positive
"No thoughts, head empty",random
"Wig snatched",positive
"I lost brain cells reading this",negative
"Chef's kiss 👨‍🍳💋",positive
"TikTok made me buy it",neutral
"This is my villain origin story",negative
"My toxic trait is liking this post",positive
"Felt cute, might delete later",neutral
"This post called me poor in 10 different languages",negative
"I'm not crying, you're crying",positive
"Tell me you're X without telling me you're X",neutral
"POV: You're scrolling through the comments",neutral
"День святого Валентина!",random
"私はこの投稿が大好きです！",positive
"Me gusta mucho esta foto!",positive
"C'est très beau !",positive
"Das ist fantastisch!",positive
"10/10",positive
"0/10",negative
"5/7 perfect score",positive
"Understandable, have a nice day",neutral
"Sir, this is a Wendy's",random
"Same energy",neutral
"I forgor 💀",random
"I rember 😃",random
"Smash",positive
"Pass",negative
"Touch grass",negative
"Wholesome 100",positive
"Big mood",positive
"Lives in my head rent free",positive
"This ain't Burger King, you can't have it your way",negative
"Didn't ask + L + Ratio",negative
"W",positive
"L",negative

